"Id","NA_L3CODE","X","Y"
"101","1.1.1",-74.2166609666626,82.0980714492662
"102","1.1.1",-75.6509004236563,82.3575503651743
"103","1.1.1",-83.8027945831599,75.3316277351626
"104","1.1.1",-79.3402979682444,81.608828589215
"105","1.1.1",-78.6614772531654,77.5815901448937
"106","1.1.1",-83.1099881468289,75.7336137895967
"107","1.1.1",-85.4123808484629,81.4637550382823
"108","1.1.1",-81.9160904792918,74.6737307954517
"109","1.1.1",-75.6885674115602,82.0544830722663
"110","1.1.1",-78.908091681944,77.4665837989333
"111","1.1.1",-78.4631794599396,77.7882607992087
"112","1.1.1",-89.6067203511308,78.5579874570139
"113","1.1.1",-90.3907989489035,78.4612453625014
"114","1.1.1",-91.566374062377,80.112207876377
"115","1.1.1",-78.4342667929828,79.5963833734304
"116","1.1.1",-79.8140853242507,77.9272137309953
"117","1.1.1",-82.5042475835939,75.7391164342107
"118","1.1.1",-91.1020992385625,78.4366210073408
"119","1.1.1",-78.141197660115,78.9108536293085
"120","1.1.1",-78.1442836898147,77.9761731639159
"121","1.1.1",-77.5175529326833,79.4415920813066
"122","1.1.1",-73.9875517357838,79.9423481077648
"123","1.1.1",-77.285948032124,80.1082948242293
"124","1.1.1",-77.6030350084656,79.7626413132426
"125","1.1.1",-75.5213487646472,79.8528342944722
"126","1.1.1",-74.658842651755,80.7618486739227
"127","1.1.1",-74.0341827433398,81.8387297915441
"128","1.1.1",-81.4539299164584,74.5310012324414
"129","1.1.1",-82.4317155355908,75.0520070302128
"130","1.1.1",-74.307530374206,80.8938196214654
"131","1.1.1",-78.0216439692936,82.3645218533265
"132","1.1.1",-80.7545667717538,76.6710228460747
"133","1.1.1",-77.6147504903094,77.8455237628473
"134","1.1.1",-76.4441357578347,78.7071023350069
"135","1.1.1",-80.7757888368268,78.1677510914386
"136","1.1.1",-79.3347083753306,81.0611673035524
"137","1.1.1",-82.0409465679608,75.8089525031458
"138","1.1.1",-73.2236889864365,82.4249141978612
"139","1.1.1",-83.5394242622497,80.8151679759095
"140","1.1.1",-83.1679479140411,81.6821517067857
"141","1.1.1",-76.8091063292403,82.1540722956183
"142","1.1.1",-86.5260241663391,74.7683174539151
"143","1.1.1",-79.1569017175521,79.9181346423403
"144","1.1.1",-77.7159526135269,80.1222895659475
"145","1.1.1",-76.6286279496862,78.1498929212089
"146","1.1.1",-76.8489710411363,80.3252656765073
"147","1.1.1",-69.802506326823,80.757620946981
"148","1.1.1",-78.9129633316962,78.4736973617615
"149","1.1.1",-70.8763865015745,80.8857872774984
"150","1.1.1",-75.7628980233434,82.1931439834338
"151","1.1.1",-93.3797940763472,80.0557234225816
"152","1.1.1",-78.9469594183997,80.1598803983242
"153","1.1.1",-79.4227416941587,77.6381083703064
"154","1.1.1",-77.9219448932181,80.2404954494742
"155","1.1.1",-78.9064582643997,77.5163559435828
"156","1.1.1",-83.6090170310598,81.0251937832799
"157","1.1.1",-91.4026776352244,78.6861783929016
"158","1.1.1",-80.9997721336052,75.6119250928813
"159","1.1.1",-79.5502783970909,78.6397541597547
"160","1.1.1",-93.3486330330354,80.5380434285674
"161","1.1.1",-79.8140520772854,80.3589513207145
"162","1.1.1",-74.2052138779181,79.6820845422249
"163","1.1.1",-93.7317241065149,79.8781486216211
"164","1.1.1",-84.7661695329845,74.7273527065154
"165","1.1.1",-70.8761596376447,81.0356010688373
"166","1.1.1",-81.7407241774025,74.7860034731425
"167","1.1.1",-82.3266289832161,75.5636169833332
"168","1.1.1",-84.3386409993752,81.0115452166356
"169","1.1.1",-80.3025889671731,77.8785274398875
"170","1.1.1",-76.0726218199381,80.6230606368676
"171","1.1.1",-81.4656357898452,75.331064407738
"172","1.1.1",-77.6676447694461,78.1611610151557
"173","1.1.1",-75.9881504638987,77.9701869867723
"174","1.1.1",-77.2145254590194,78.8809126820701
"175","1.1.1",-78.2394159722819,78.2145266768294
"176","1.1.1",-70.2904282235609,80.8080066053725
"177","1.1.1",-81.3049735037408,77.8710986960756
"178","1.1.1",-77.9513328502453,81.776391405319
"179","1.1.1",-83.6453776827282,74.9512324160301
"180","1.1.1",-75.0124809903789,81.9174771260885
"181","1.1.1",-92.9907836494126,80.5565801014963
"182","1.1.1",-71.8755666213107,82.5249864250974
"183","1.1.1",-80.7622712923845,81.3439804448804
"184","1.1.1",-71.9944473952225,82.3433057655202
"185","1.1.1",-78.8629127396984,81.1559987164827
"186","1.1.1",-91.1473007139433,78.7520811737095
"187","1.1.1",-79.3497170409198,76.8637561492831
"188","1.1.1",-82.373682665232,74.9294163168627
"189","1.1.1",-82.4346509871111,81.3868813159891
"190","1.1.1",-74.989007916428,82.6075412438222
"191","1.1.1",-79.8422161630002,77.8609201001416
"192","1.1.1",-76.6481741501999,80.6149952957884
"193","1.1.1",-76.9846077696957,78.6389693578481
"194","1.1.1",-81.343851531849,74.7243707246155
"195","1.1.1",-79.8957984938828,79.0809045761449
"196","1.1.1",-70.2317968679522,82.6623372482588
"197","1.1.1",-77.787550884487,82.4851366615471
"198","1.1.1",-82.014715388326,81.1863852925435
"199","1.1.1",-77.693297465282,81.7899917441515
"200","1.1.1",-81.3839950966788,77.5418220637316
"201","1.1.2",-76.6797660031132,72.2499259734389
"202","1.1.2",-65.5510575807968,66.9724536772866
"203","1.1.2",-69.1125240207697,68.5563063825757
"204","1.1.2",-64.6394360461097,58.7974745426526
"205","1.1.2",-73.9943445933743,71.6490100644299
"206","1.1.2",-74.7747255910966,72.0355814692439
"207","1.1.2",-64.0446497956894,65.9077953155899
"208","1.1.2",-63.6162920533141,66.3669056223787
"209","1.1.2",-68.5420642367151,68.3622621462781
"210","1.1.2",-65.9143202166468,66.7229263687323
"211","1.1.2",-64.4673936223432,59.2212538129273
"212","1.1.2",-63.6572452184067,59.3061031641956
"213","1.1.2",-62.8324136430533,65.79778595158
"214","1.1.2",-68.7939312138036,69.8977877873622
"215","1.1.2",-64.4156702036673,59.2032779198468
"216","1.1.2",-65.0517035850827,59.5621466698317
"217","1.1.2",-69.2961323574785,68.1777260378057
"218","1.1.2",-66.2903708405815,67.4716900733378
"219","1.1.2",-64.301333277723,57.2315489114333
"220","1.1.2",-71.5054477631786,71.2500072606184
"221","1.1.2",-76.077190531066,71.6919266029952
"222","1.1.2",-67.789193399359,68.1892141399379
"223","1.1.2",-65.660118357191,68.1187717330046
"224","1.1.2",-62.5573370359088,66.2437836553311
"225","1.1.2",-71.9530885552083,70.4979817107331
"226","1.1.2",-77.8890258696467,72.9651233578534
"227","1.1.2",-77.9716124206192,72.9845280931222
"228","1.1.2",-63.2378201865801,57.9906751442916
"229","1.1.2",-64.0858876091078,57.9523614923595
"230","1.1.2",-62.7500305411254,66.1240832327082
"231","1.1.2",-77.8055069041683,73.1015494620616
"232","1.1.2",-64.9366548292215,59.5182907081182
"233","1.1.2",-63.0400611906805,66.1201171928941
"234","1.1.2",-62.8621045003358,66.6404114987761
"235","1.1.2",-68.0728181835362,68.1103166293993
"236","1.1.2",-64.8202447783474,59.2154466716106
"237","1.1.2",-79.8208455267996,73.3100981237663
"238","1.1.2",-74.7932065072718,71.6588866308351
"239","1.1.2",-65.1016465134429,59.9695456258332
"240","1.1.2",-71.989442132338,71.3384235805861
"241","1.1.2",-68.7579086482832,69.1495462661185
"242","1.1.2",-64.6354819120557,58.2199962627113
"243","1.1.2",-63.7893547973254,58.8158617595993
"244","1.1.2",-63.782856605147,58.5359094126367
"245","1.1.2",-65.1891215517466,66.7536548309746
"246","1.1.2",-76.3262205005228,71.9305093621388
"247","1.1.2",-63.4618110063536,67.0370826331286
"248","1.1.2",-67.1829818804005,67.7310998724865
"249","1.1.2",-63.9226096346596,58.8537024275176
"250","1.1.2",-65.3941050700481,67.7736568395737
"251","1.1.2",-64.0131269771698,58.0011349585669
"252","1.1.2",-63.4213902314342,65.7738572360502
"253","1.1.2",-64.5867241210964,66.5616607507378
"254","1.1.2",-63.9875584259841,58.1644387383558
"255","1.1.2",-64.9654108966292,67.0361562962365
"256","1.1.2",-65.125359389022,67.4493049295551
"257","1.1.2",-63.5316322964067,66.1277670860101
"258","1.1.2",-79.4447161216185,73.6081063328467
"259","1.1.2",-69.9690465201827,70.2814473988054
"260","1.1.2",-64.1615462060317,58.0290196517292
"261","1.1.2",-73.0881069031036,71.0321166793827
"262","1.1.2",-65.1050454978339,67.2501912152425
"263","1.1.2",-68.5119791246399,68.1606826506572
"264","1.1.2",-68.5782510175839,69.369241780445
"265","1.1.2",-63.1420051463274,66.9161788403423
"266","1.1.2",-69.0325448620946,68.1106661960893
"267","1.1.2",-66.5202415845193,67.7215852837066
"268","1.1.2",-67.5237066784011,70.1075423716312
"269","1.1.2",-69.1272043199791,69.6984322519634
"270","1.1.2",-65.5156373399936,67.3016585932927
"271","1.1.2",-64.0698087173243,57.6069999565595
"272","1.1.2",-66.8376775927901,67.172574834592
"273","1.1.2",-64.5926046425693,58.5994957956658
"274","1.1.2",-63.1377334568135,65.9451572310236
"275","1.1.2",-74.1070285768935,71.1867076867084
"276","1.1.2",-77.8842838623533,73.3173250239616
"277","1.1.2",-67.2197640734188,69.2012601359671
"278","1.1.2",-72.3523740926326,70.792670697308
"279","1.1.2",-63.8263701808405,57.5326073408697
"280","1.1.2",-68.6149139813241,68.2576496021377
"281","1.1.2",-64.3097460927251,59.7739019924345
"282","1.1.2",-76.7427692042565,71.9888314738934
"283","1.1.2",-64.7727290886354,66.3074688349481
"284","1.1.2",-65.7126933424126,66.7559671253584
"285","1.1.2",-75.3128156875035,72.0603140523461
"286","1.1.2",-76.6353481289457,72.5830358456155
"287","1.1.2",-62.6019839251131,65.733037184143
"288","1.1.2",-74.5105035962653,71.891860962797
"289","1.1.2",-64.0791580878983,58.761830479974
"290","1.1.2",-62.6454911523111,65.9891205195506
"291","1.1.2",-68.8415572604115,69.172043647158
"292","1.1.2",-65.3960529627452,66.7504547488186
"293","1.1.2",-66.3951475127899,68.0539974307199
"294","1.1.2",-64.9811256961703,59.5174771910046
"295","1.1.2",-65.9165212338299,67.539578118102
"296","1.1.2",-62.444340659027,66.0314881919982
"297","1.1.2",-63.512090661146,58.1539260124155
"298","1.1.2",-67.2066692161735,69.4369238273902
"299","1.1.2",-65.4143369029811,67.5891266040859
"300","1.1.2",-66.902872767712,67.277330740795
"301","10.1.1",-119.180263083797,50.6819631458276
"302","10.1.1",-118.684346962638,49.7605978885603
"303","10.1.1",-119.705021322745,49.4225552479221
"304","10.1.1",-121.570580398786,50.8428064077812
"305","10.1.1",-120.340257939566,51.7455155288026
"306","10.1.1",-119.244531590998,49.3472665468134
"307","10.1.1",-118.518823285727,49.9830304104566
"308","10.1.1",-120.549139540854,49.4864549116624
"309","10.1.1",-119.975531696924,49.969112714776
"310","10.1.1",-121.153316015353,49.7436749417136
"311","10.1.1",-119.823471435749,50.8432580457288
"312","10.1.1",-121.492464912214,50.0998522593028
"313","10.1.1",-121.069568724625,50.645884063492
"314","10.1.1",-120.705035323209,49.3538394126027
"315","10.1.1",-120.639232129124,49.7240579744116
"316","10.1.1",-120.077859746679,51.3015179106421
"317","10.1.1",-119.095088529772,49.7716517977446
"318","10.1.1",-119.033689090732,50.3922930675032
"319","10.1.1",-120.105188947935,50.8201401565242
"320","10.1.1",-120.180045549794,51.2338867200133
"321","10.1.1",-120.6642796053,50.0588301624058
"322","10.1.1",-120.000748557723,49.4568641028891
"323","10.1.1",-119.948590672227,50.081781369783
"324","10.1.1",-120.766254692168,49.9665436897215
"325","10.1.1",-119.625393213211,50.5325903121114
"326","10.1.1",-120.13551998396,51.8298284861595
"327","10.1.1",-119.103125750451,49.945062563653
"328","10.1.1",-118.834947795397,49.6575250173281
"329","10.1.1",-121.644245281454,50.7716983095805
"330","10.1.1",-121.786633941343,51.1163326727355
"331","10.1.1",-120.525848422382,50.5203630337537
"332","10.1.1",-119.11625967379,49.3221145470405
"333","10.1.1",-120.63820449601,50.933663575261
"334","10.1.1",-119.421814134536,50.7907288690606
"335","10.1.1",-118.887756632269,50.0264643279154
"336","10.1.1",-122.425529528623,50.454814182897
"337","10.1.1",-119.032399245397,49.9389095744652
"338","10.1.1",-120.822599373436,50.1443984975882
"339","10.1.1",-119.624603049374,50.5621867285736
"340","10.1.1",-119.01729476282,49.680279099408
"341","10.1.1",-122.004711726477,50.8927089329631
"342","10.1.1",-121.92932929632,51.2761509739381
"343","10.1.1",-120.005172831866,49.562807447352
"344","10.1.1",-118.838131206577,49.5338286106174
"345","10.1.1",-120.863637920148,50.5895943939762
"346","10.1.1",-121.834728166025,50.0623555305107
"347","10.1.1",-121.038263427403,49.9980457657258
"348","10.1.1",-122.629744147495,50.6774335014444
"349","10.1.1",-118.370008383709,49.1007012130381
"350","10.1.1",-121.317434998212,50.005546058456
"351","10.1.1",-119.323731503717,49.2141176438496
"352","10.1.1",-120.480949978332,51.4880268961811
"353","10.1.1",-120.207792867739,51.8302051387284
"354","10.1.1",-120.795878180787,51.071254619454
"355","10.1.1",-119.297290280029,49.3255618945402
"356","10.1.1",-118.753493079721,49.1075894894155
"357","10.1.1",-119.220581202832,50.8328824980682
"358","10.1.1",-119.402852165657,49.3151237317146
"359","10.1.1",-122.691114994664,50.7577960594817
"360","10.1.1",-119.547253642078,50.5785773563423
"361","10.1.1",-121.155054221294,50.1562229267139
"362","10.1.1",-120.504451196861,50.6122527425361
"363","10.1.1",-122.356148345741,51.0396567874988
"364","10.1.1",-120.350792780313,50.2309372959986
"365","10.1.1",-119.589667684303,50.4913058539185
"366","10.1.1",-120.020823329677,50.3802016410351
"367","10.1.1",-122.168347293494,50.9267819381682
"368","10.1.1",-119.968587739803,51.1674088454018
"369","10.1.1",-121.088188670311,50.5100195101528
"370","10.1.1",-120.445404584283,50.3820493190456
"371","10.1.1",-120.082235142148,50.222340721122
"372","10.1.1",-121.764891135073,51.2929482708495
"373","10.1.1",-119.998073846766,49.7536878826169
"374","10.1.1",-120.523846278164,50.349885449172
"375","10.1.1",-118.87410167947,49.6766258049268
"376","10.1.1",-120.437812969658,49.4122680692269
"377","10.1.1",-121.843300570294,50.0982891926369
"378","10.1.1",-119.303694403476,49.9431678024426
"379","10.1.1",-118.660813479993,50.0795986444067
"380","10.1.1",-121.577363295433,50.8892199820489
"381","10.1.1",-119.063803934587,49.6507353961881
"382","10.1.1",-122.040840141776,51.1616290537133
"383","10.1.1",-120.027130004104,49.7432859479727
"384","10.1.1",-123.130493645658,50.8599679627111
"385","10.1.1",-123.102706305049,50.7975174375685
"386","10.1.1",-119.195817481584,50.2001087377412
"387","10.1.1",-121.602043251374,50.4525512986225
"388","10.1.1",-119.815333122796,49.9738361668692
"389","10.1.1",-122.116957605644,50.9702251883929
"390","10.1.1",-120.228262363272,51.1603864781887
"391","10.1.1",-121.960465030198,50.3664834437363
"392","10.1.1",-120.254995832609,50.2433676664895
"393","10.1.1",-120.664521290868,49.9762422701104
"394","10.1.1",-120.022704583341,49.5888532600406
"395","10.1.1",-119.89814733276,50.5850052576262
"396","10.1.1",-122.122477641306,50.9327200205456
"397","10.1.1",-119.091759686775,49.5222459759192
"398","10.1.1",-119.422944492662,50.3751699385971
"399","10.1.1",-119.850307856596,49.4337191279028
"400","10.1.1",-121.777990885764,50.2888173454809
"401","10.1.2",-118.323641834692,47.2666367250289
"402","10.1.2",-119.651094701138,45.5312570755277
"403","10.1.2",-120.001806582332,47.0100746278694
"404","10.1.2",-118.895657758208,46.896438084334
"405","10.1.2",-121.083135984712,45.4496589904144
"406","10.1.2",-119.101783627464,46.1171357637851
"407","10.1.2",-118.612427062848,46.96474741778
"408","10.1.2",-118.964827087125,45.89673047414
"409","10.1.2",-121.103663779076,45.5569451614536
"410","10.1.2",-118.987024184577,48.0772817312864
"411","10.1.2",-120.889595072431,46.3981538874139
"412","10.1.2",-117.887360209216,47.8293045430204
"413","10.1.2",-118.014434170443,46.3619310814276
"414","10.1.2",-117.933768610581,47.3261155619809
"415","10.1.2",-119.548408869936,46.4638896515389
"416","10.1.2",-119.737502148363,45.0974404992821
"417","10.1.2",-116.064693692049,45.99202322341
"418","10.1.2",-119.762660215392,45.7741026441178
"419","10.1.2",-119.097294550946,46.5897726578466
"420","10.1.2",-118.112304737579,47.0413541035436
"421","10.1.2",-119.954726797951,46.0492179393359
"422","10.1.2",-120.828775134322,46.3966541542095
"423","10.1.2",-118.130616573048,47.1326298129342
"424","10.1.2",-119.321868540864,45.4088005630569
"425","10.1.2",-118.743860849696,47.6296668520278
"426","10.1.2",-118.593593999331,47.1519810904718
"427","10.1.2",-120.620460359232,45.2249486257521
"428","10.1.2",-117.366217280595,46.2466642278996
"429","10.1.2",-119.926859731001,47.8015399890027
"430","10.1.2",-120.995786896496,45.7532525879553
"431","10.1.2",-119.528526865217,49.1340659711438
"432","10.1.2",-118.068107779887,46.5103654083766
"433","10.1.2",-118.428122097568,47.5243281718513
"434","10.1.2",-119.047825022434,47.350085962258
"435","10.1.2",-118.215618029749,46.2699281196471
"436","10.1.2",-121.280317834379,45.1957454612069
"437","10.1.2",-120.656965604658,45.4199157079577
"438","10.1.2",-116.166695157766,46.100073815948
"439","10.1.2",-120.597522029479,45.285677751006
"440","10.1.2",-120.417931934663,45.2888136054568
"441","10.1.2",-120.011795953505,47.0660137279558
"442","10.1.2",-119.295550585076,47.250067636644
"443","10.1.2",-118.525888510894,47.8316378926586
"444","10.1.2",-119.47004504808,48.4815727395331
"445","10.1.2",-120.252139864677,46.4537548813548
"446","10.1.2",-119.800108060599,47.0106422899151
"447","10.1.2",-116.762557589171,46.5144525073465
"448","10.1.2",-120.767501806039,47.0181262848656
"449","10.1.2",-118.606595581709,46.382633225778
"450","10.1.2",-120.413135056143,45.4675018556877
"451","10.1.2",-119.60878744861,48.2101320459171
"452","10.1.2",-119.272690171358,47.3518962777099
"453","10.1.2",-119.921394531586,46.4505930724261
"454","10.1.2",-117.737561083006,47.0104653593914
"455","10.1.2",-118.931147211104,46.5908308477975
"456","10.1.2",-119.37523961097,49.0338196314286
"457","10.1.2",-120.649533251678,45.0416337373779
"458","10.1.2",-119.876434011214,45.2936609599364
"459","10.1.2",-120.765062381669,45.5828318055553
"460","10.1.2",-119.675818190325,47.3257515210564
"461","10.1.2",-118.946781597297,46.9200955657693
"462","10.1.2",-118.860588771745,47.3637081077114
"463","10.1.2",-119.124969066054,47.1605541086553
"464","10.1.2",-119.799324311218,46.4914663563872
"465","10.1.2",-118.560291678156,47.4887154034718
"466","10.1.2",-118.092929969023,47.466797822022
"467","10.1.2",-120.326629958739,45.8510295433559
"468","10.1.2",-119.48606845214,46.4569927726213
"469","10.1.2",-119.756051727811,45.3514277103268
"470","10.1.2",-119.747701975773,47.2080569931203
"471","10.1.2",-117.230938182961,46.3316183918157
"472","10.1.2",-118.301054107519,47.4488102540135
"473","10.1.2",-118.805838582427,46.9728765021338
"474","10.1.2",-120.206983777623,46.4428595600721
"475","10.1.2",-116.802232244118,46.4054779732336
"476","10.1.2",-118.880847877706,46.0756778156733
"477","10.1.2",-119.466320560402,47.9658973970105
"478","10.1.2",-120.566602071729,45.5755174287401
"479","10.1.2",-117.460222528205,46.4938042000318
"480","10.1.2",-118.778263123384,47.8514959465855
"481","10.1.2",-119.746762810233,48.1614497804647
"482","10.1.2",-120.319700306833,45.2046292755018
"483","10.1.2",-117.589931630887,46.3853673912063
"484","10.1.2",-119.796472032661,47.5755930059933
"485","10.1.2",-120.074374205022,45.7463436684962
"486","10.1.2",-120.159057670276,46.3820181406606
"487","10.1.2",-118.286361454335,47.0885175882499
"488","10.1.2",-119.529197210133,46.7254737996598
