FID,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
0,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,1026272.761,16266759937
1,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,113153.5631,355136367.9
2,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,532649.1967,7042042027
3,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,30378.51275,65532516.4
4,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,36943.07363,83418145.69
5,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,925663.5585,22079347101
6,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,794808.3854,12754017427
7,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,1005057.613,24118549693
8,1.1.1,Ellesmere and Devon Islands Ice Caps,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.1  Ellesmere and Devon Islands Ice Caps,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,1586575.209,31930288285
9,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,18910.64238,20931452.38
10,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,18699.8098,24186673.29
11,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,19794.22422,26438236.33
12,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,61065.40218,151669227.1
13,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,13527.83983,11608810.56
14,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,1879450.502,31990136375
15,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,80146.98472,292027569.5
16,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,13390.08499,12289427.95
17,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,33122.14329,64204126.59
18,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,54774.99122,184517568.3
19,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,29734.13742,48376572.63
20,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,31481.8826,50538788.99
21,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,29151.18729,53423622.88
22,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,55140.40496,119567424.8
23,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,26099.11053,40191568.82
24,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,65405.65125,148136832.9
25,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,49406.6074,127448714.1
26,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,30251.5627,39891213.16
27,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,16229.25196,13708829.8
28,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,21007.56195,30420252.73
29,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,60025.73885,121386578.4
30,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,26966.63605,37033402.78
31,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,32458.65753,66009058.57
32,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,28301.13138,29888915.12
33,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,72695.24595,112654475.5
34,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,17119.95928,13187684.91
35,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,20684.89438,20997106.69
36,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,19408.9953,25709124.96
37,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,22893.57424,19617664.79
38,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,44034.72256,99606484.78
39,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,75871.97237,221426387.1
40,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,75906.39273,339381282.1
41,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,18622.50124,24295039.44
42,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,4498497.399,61006332421
43,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,102277.3002,502205040
44,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,494402.8118,6286133568
45,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,27229.82888,38917295.13
46,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,257420.283,2504147072
47,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,54081.52921,126588491.5
48,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,104987.6437,284055020.5
49,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,15092.34109,15397771.31
50,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,41667.6857,63713134.33
51,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,43787.70197,142418730
52,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,345567.7505,1912700138
53,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,436112.9601,5477058399
54,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,25927.84357,44191545.91
55,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,735490.4197,9188194329
56,1.1.2,Baffin and Torngat Mountains,1.1,ARCTIC CORDILLERA,1,ARCTIC CORDILLERA,1.1.2  Baffin and Torngat Mountains,1.1  ARCTIC CORDILLERA,1  ARCTIC CORDILLERA,408754.3417,8251186757
57,10.1.1,Thompson-Okanogan Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.1  Thompson-Okanogan Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,1366819.112,52455281661
58,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,77154.14328,108964656.8
59,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,462502.0653,1764935027
60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.188,81830013716
61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.939,1.41988E+11
62,10.1.4,Wyoming Basin,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.4  Wyoming Basin,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,3743946.647,1.32467E+11
63,10.1.5,Central Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.5  Central Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4409188.473,3.09681E+11
64,10.1.6,Colorado Plateaus,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.6  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,3897788.711,1.34835E+11
65,10.1.7,Arizona/New Mexico Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.7  Arizona/New Mexico Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,5719268.917,1.5007E+11
66,10.1.8,Snake River Plain,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.8  Snake River Plain,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2147854.371,53527361973
67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.15,1.29592E+11
68,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,58423.72384,115123202.2
69,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,565759.4202,4255108130
70,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,146756.0904,1215379672
71,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,13139.26995,8382713.564
72,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,49587.32751,127113413.6
73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.804,2.18013E+11
74,10.2.3,Baja Californian Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.3  Baja Californian Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,47068.66102,32894883.2
